City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
192,Okhotsk,RU,59.3833,143.3,0.61,100,69,3.78,broken clouds
193,Hede,CN,33.7681,120.2517,47.39,75,2,8.7,clear sky
194,Farias Brito,BR,-6.9306,-39.5656,84.88,47,54,5.48,broken clouds
195,Aksha,RU,50.2814,113.2867,29.7,85,28,4.14,scattered clouds
196,Jinchang,CN,38.4953,102.1739,49.51,17,100,5.26,overcast clouds
197,Louis Trichardt,ZA,-23.0439,29.9032,61.74,79,100,12.26,overcast clouds
198,Uribia,CO,11.7139,-72.266,88.27,40,96,28.54,overcast clouds
199,Udachnyy,RU,66.4167,112.4,10.45,84,100,10.71,overcast clouds
200,Waitara,NZ,-38.925,174.25,61.48,78,44,10.13,scattered clouds
201,Kaitangata,NZ,-46.2817,169.8464,42.12,95,100,12.57,light rain
202,Yar-Sale,RU,66.8333,70.8333,-11.02,98,26,4.76,scattered clouds
203,Isangel,VU,-19.55,169.2667,78.46,86,82,4.83,broken clouds
204,Grand Gaube,MU,-20.0064,57.6608,81.0,77,6,1.99,clear sky
205,Asau,RO,46.4333,26.4,56.32,65,100,6.33,overcast clouds
206,Wanparti,IN,16.3667,78.0667,86.88,17,17,4.16,few clouds
207,Cabo San Lucas,MX,22.8909,-109.9124,74.05,46,20,4.61,few clouds
208,Kasempa,ZM,-13.4584,25.8338,70.93,78,99,3.8,overcast clouds
209,Fria,GN,10.4167,-13.5833,88.21,21,52,9.15,broken clouds
210,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,91.67,45,80,3.69,broken clouds
211,Mwense,ZM,-10.3845,28.698,69.31,94,96,5.64,moderate rain
212,Kargopol,RU,61.5071,38.9456,25.52,95,100,9.91,light snow
213,Geraldton,AU,-28.7667,114.6,66.61,77,0,12.66,clear sky
214,Baykit,RU,61.67,96.37,28.85,71,83,17.58,broken clouds
215,Konevo,RU,62.1215,39.3192,24.24,93,100,10.13,light snow
216,Ponta Do Sol,PT,32.6667,-17.1,77.13,29,26,3.4,scattered clouds
217,Kysyl-Syr,RU,63.8986,122.7617,33.22,98,100,11.05,snow
218,Half Moon Bay,US,37.4636,-122.4286,50.92,69,0,3.44,clear sky
219,Samarai,PG,-10.6167,150.6667,82.72,75,83,12.86,broken clouds
220,Rio Grande Da Serra,BR,-23.7442,-46.3983,73.62,96,100,6.69,overcast clouds
221,Aguimes,ES,27.9054,-15.4461,79.43,43,20,18.99,few clouds
222,Salinopolis,BR,-0.6136,-47.3561,81.45,78,97,4.27,overcast clouds
223,Fort Nelson,CA,58.8053,-122.7002,13.59,79,20,6.91,few clouds
224,Champerico,GT,14.3,-91.9167,86.54,64,6,5.39,clear sky
225,Airai,TL,-8.9266,125.4092,59.95,95,100,1.77,overcast clouds
226,Balao,EC,-2.9167,-79.8167,75.04,91,100,6.51,light rain
227,Clearwater,US,27.9659,-82.8001,83.91,75,75,13.8,broken clouds
228,Laguna,US,38.421,-121.4238,51.08,73,0,3.44,clear sky
229,Chuy,UY,-33.6971,-53.4616,74.73,47,0,3.11,clear sky
230,Sokoto,NG,13.0609,5.239,98.89,8,93,3.96,overcast clouds
231,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,15,0,21.85,clear sky
232,Koster,ZA,-25.863,26.8976,70.81,36,78,2.77,broken clouds
233,Eureka,US,40.8021,-124.1637,40.19,93,100,4.97,overcast clouds
234,Lakatoro,VU,-16.0999,167.4164,77.77,82,79,1.95,broken clouds
235,Marawi,PH,7.9986,124.2928,68.36,95,100,2.06,overcast clouds
236,Loandjili,CG,-4.7561,11.8578,82.8,75,100,8.66,overcast clouds
237,Oriximina,BR,-1.7656,-55.8661,74.32,95,100,3.42,overcast clouds
238,La Ronge,CA,55.1001,-105.2842,-5.55,54,0,2.3,clear sky
239,Lorengau,PG,-2.0226,147.2712,80.71,79,38,3.62,scattered clouds
240,Araouane,ML,18.9048,-3.5265,100.13,7,41,9.37,scattered clouds
241,Chongqing,CN,29.5628,106.5528,60.22,81,0,4.47,clear sky
242,Cidreira,BR,-30.1811,-50.2056,74.21,54,19,9.17,few clouds
243,Westport,US,41.1415,-73.3579,58.89,40,82,5.01,broken clouds
244,Banda Aceh,ID,5.5577,95.3222,80.56,81,88,8.61,overcast clouds
245,Derzhavinsk,KZ,51.1,66.3167,35.71,82,10,4.7,clear sky
246,Margate,GB,51.3813,1.3862,50.7,52,12,1.01,few clouds
247,Winnemucca,US,40.973,-117.7357,24.85,68,0,3.44,clear sky
248,Biak,ID,-0.9131,122.8766,76.32,81,99,3.06,overcast clouds
249,Boa Vista,BR,2.8197,-60.6733,87.78,51,40,16.11,scattered clouds
250,Los Llanos De Aridane,ES,28.6585,-17.9182,76.75,28,0,10.36,clear sky
251,Tadine,NC,-21.55,167.8833,77.23,90,99,11.05,overcast clouds
252,Salalah,OM,17.0151,54.0924,82.49,78,75,11.5,broken clouds
253,Oranjemund,NA,-28.55,16.4333,74.59,51,0,9.26,clear sky
254,Roma,US,43.2128,-75.4557,48.69,53,100,3.44,overcast clouds
255,Pisco,PE,-13.7,-76.2167,75.25,73,0,6.91,clear sky
256,Batticaloa,LK,7.7102,81.6924,80.24,73,35,8.28,scattered clouds
257,Port-Cartier,CA,50.0334,-66.8654,33.75,99,100,7.56,light snow
258,Beloha,MG,-25.1667,45.05,73.11,83,13,12.1,few clouds
259,Chavakachcheri,LK,9.6579,80.1643,80.33,78,89,9.64,overcast clouds
260,Dunedin,NZ,-45.8742,170.5036,46.8,91,100,13.0,light rain
261,Olafsvik,IS,64.8945,-23.7142,28.53,64,30,13.6,scattered clouds
262,Weinan,CN,34.5036,109.5089,57.24,38,100,3.58,overcast clouds
263,Boa Viagem,BR,-5.1275,-39.7322,80.08,81,97,7.47,overcast clouds
264,Chara,RU,56.9064,118.2631,25.39,76,100,2.33,overcast clouds
265,Katsuura,JP,35.1333,140.3,54.66,76,100,17.69,overcast clouds
266,Sayyan,YE,15.1718,44.3244,63.43,55,45,11.25,scattered clouds
267,Kargil,IN,34.5667,76.1,17.73,78,8,3.6,clear sky
268,Bozeman,US,45.6796,-111.0386,23.88,89,100,3.44,mist
269,Kijang,KR,35.2442,129.2139,46.13,52,0,2.64,clear sky
270,Ostrovnoy,RU,68.0531,39.5131,20.41,78,99,7.83,overcast clouds
271,Riyadh,SA,24.6877,46.7219,78.94,23,30,11.52,scattered clouds
272,Jinka,ET,5.65,36.65,69.26,70,55,1.07,broken clouds
273,Korla,CN,41.7597,86.1469,56.73,22,42,1.28,scattered clouds
274,Pangnirtung,CA,66.1451,-65.7125,12.2,79,100,5.75,overcast clouds
275,Bengkulu,ID,-3.8004,102.2655,78.17,86,93,3.98,moderate rain
276,Sola,VU,-13.8833,167.55,81.57,75,50,5.5,scattered clouds
277,San Francisco,US,37.7749,-122.4194,49.39,76,20,5.99,few clouds
278,Nushki,PK,29.5542,66.0215,71.98,27,98,6.08,overcast clouds
279,Caravelas,BR,-17.7125,-39.2481,87.08,51,9,9.82,clear sky
280,Lloydminster,CA,53.2835,-110.0016,1.62,60,40,3.44,scattered clouds
281,Saint George,US,37.1041,-113.5841,40.42,51,0,4.61,clear sky
282,Bayshore Gardens,US,27.4253,-82.5904,86.23,62,40,16.11,scattered clouds
283,Puerto Escondido,MX,15.85,-97.0667,84.99,47,0,4.45,clear sky
284,Cairns,AU,-16.9167,145.7667,74.1,95,21,6.91,few clouds
285,Gallup,US,35.5281,-108.7426,28.24,56,0,6.91,clear sky
286,Longyearbyen,SJ,78.2186,15.6401,10.24,56,20,10.36,few clouds
287,Faanui,PF,-16.4833,-151.75,81.82,72,82,10.38,broken clouds
288,Wakefield,GB,53.6809,-1.499,52.63,53,90,4.59,overcast clouds
289,Wheatley,GB,51.7473,-1.1394,52.39,42,0,5.75,clear sky
290,Ayan,RU,56.45,138.1667,9.9,84,31,5.08,scattered clouds
291,Mandalgovi,MN,45.7625,106.2708,36.03,30,7,3.83,clear sky
292,Richards Bay,ZA,-28.783,32.0377,67.51,63,66,10.76,broken clouds
293,Iqaluit,CA,63.7506,-68.5145,13.73,79,75,4.61,light snow
294,Barabai,ID,-2.5833,115.3833,75.24,96,100,1.43,overcast clouds
295,Vanderhoof,CA,54.0166,-124.0198,20.21,83,32,3.44,scattered clouds
296,Honningsvag,NO,70.9821,25.9704,24.55,74,40,3.44,scattered clouds
297,Saint-Philippe,RE,-21.3585,55.7679,78.39,81,50,6.62,scattered clouds
298,Florianopolis,BR,-27.6146,-48.5012,79.41,50,0,12.66,clear sky
299,Bilibino,RU,68.0546,166.4372,-16.11,100,98,3.09,overcast clouds
300,Maceio,BR,-9.6658,-35.7353,87.24,62,40,9.22,scattered clouds
301,Tautira,PF,-17.7333,-149.15,80.85,74,74,8.08,broken clouds
302,Ulladulla,AU,-35.35,150.4667,64.76,80,88,3.2,overcast clouds
303,Skagen,DK,57.7209,10.5839,35.71,63,76,22.95,broken clouds
304,Abong Mbang,CM,3.9833,13.1833,81.97,56,95,2.51,overcast clouds
305,Bandarbeyla,SO,9.4942,50.8122,81.7,78,18,9.04,few clouds
306,Avera,US,33.194,-82.5271,63.91,81,100,14.32,moderate rain
307,Lavrentiya,RU,65.5833,-171.0,-5.89,83,15,8.32,few clouds
308,Ondjiva,AO,-17.0667,15.7333,71.96,74,89,6.35,moderate rain
309,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,76,75,15.57,broken clouds
310,Saldanha,ZA,-33.0117,17.9442,82.45,61,18,13.94,few clouds
311,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,60,100,6.91,overcast clouds
312,Yulara,AU,-25.2406,130.9889,70.5,74,97,10.22,overcast clouds
313,Manadhoo,MV,5.7667,73.3833,83.21,71,87,8.86,overcast clouds
314,Saravan,AM,39.7196,45.6483,43.75,91,95,1.14,overcast clouds
315,Aswan,EG,24.0934,32.907,85.3,14,0,16.11,clear sky
316,Bhabua,IN,25.05,83.6167,80.19,27,10,1.03,clear sky
317,Khandyga,RU,62.6667,135.6,25.38,91,100,12.26,light snow
318,Sampit,ID,-2.5333,112.95,71.35,97,100,3.96,heavy intensity rain
319,Tam Ky,VN,15.5667,108.4833,74.32,94,100,2.53,overcast clouds
320,Petatlan,MX,17.5167,-101.2667,78.6,36,54,3.38,broken clouds
321,Pitimbu,BR,-7.4706,-34.8086,86.59,64,70,12.33,broken clouds
322,Razdolnoye,RU,43.55,131.9167,28.81,87,6,5.91,clear sky
323,Pacajus,BR,-4.1725,-38.4606,83.55,88,100,5.03,overcast clouds
324,Poya,NC,-21.35,165.15,75.24,93,82,6.62,broken clouds
325,Balykshi,KZ,47.0667,51.8667,71.6,18,37,11.18,scattered clouds
326,Ploemeur,FR,47.7333,-3.4333,56.86,73,20,9.22,few clouds
327,Tevaitoa,PF,-16.7833,-151.5,81.82,73,76,9.55,broken clouds
328,Mbanza-Ngungu,CD,-5.25,14.8667,77.72,76,85,1.88,overcast clouds
329,Iskateley,RU,67.6803,53.1512,-0.85,99,10,4.32,clear sky
330,Muzhi,RU,65.3667,64.6667,7.81,91,60,5.64,broken clouds
331,Ugoofaaru,MV,5.6667,73.0,82.85,72,70,8.59,broken clouds
332,Nalut,LY,30.3333,10.85,82.96,7,0,7.87,clear sky
333,Ormara,PK,25.2088,64.6357,75.87,66,7,13.18,clear sky
334,Upice,CZ,50.5124,16.0161,40.37,57,88,10.22,overcast clouds
335,Tura,IN,25.5198,90.2201,70.61,66,0,4.63,clear sky
336,Alekseyevsk,RU,57.8406,108.3492,35.28,97,100,10.54,overcast clouds
337,Mackay,AU,-21.15,149.2,71.69,78,6,4.34,clear sky
338,Harsud,IN,22.1,76.7333,83.68,17,0,7.09,clear sky
339,San Pedro De Macoris,DO,18.4616,-69.2972,86.13,43,2,12.55,clear sky
340,Coos Bay,US,43.3665,-124.2179,37.38,93,0,6.91,clear sky
341,Flinders,AU,-34.5833,150.8552,71.06,85,98,3.0,overcast clouds
342,Nishihara,JP,26.1842,127.7558,65.48,68,75,14.97,broken clouds
343,Meulaboh,ID,4.1363,96.1285,76.59,90,99,6.11,light rain
344,Ishigaki,JP,24.3448,124.1572,69.93,88,75,17.27,broken clouds
345,Terre Haute,US,39.4667,-87.4139,43.07,83,100,10.36,overcast clouds
346,Mount Isa,AU,-20.7333,139.5,71.37,78,14,0.0,few clouds
